R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0012	0000.000
-00.0002	-00.0009	0000.001
+00.0022	-00.0009	0000.002
+00.0053	-00.0012	0000.003
+00.0090	-00.0009	0000.004
+00.0117	-00.0003	0000.005
+00.0151	-00.0009	0000.006
+00.0172	-00.0006	0000.007
+00.0203	+00.0000	0000.008
+00.0236	-00.0006	0000.009
+00.0264	-00.0006	0000.010
+00.0297	-00.0003	0000.011
+00.0325	-00.0003	0000.012
+00.0361	+00.0003	0000.013
+00.0386	+00.0000	0000.014
+00.0422	+00.0000	0000.015
+00.0447	+00.0000	0000.016
+00.0477	+00.0006	0000.017
+00.0511	+00.0006	0000.018
+00.0535	+00.0003	0000.019
+00.0566	+00.0003	0000.020
+00.0599	+00.0006	0000.021
+00.0627	+00.0006	0000.022
+00.0660	+00.0006	0000.023
+00.0691	+00.0010	0000.024
+00.0718	+00.0010	0000.025
+00.0743	+00.0013	0000.026
+00.0776	+00.0016	0000.027
+00.0807	+00.0013	0000.028
+00.0837	+00.0016	0000.029
+00.0865	+00.0022	0000.030
+00.0898	+00.0016	0000.031
+00.0929	+00.0019	0000.032
+00.0956	+00.0022	0000.033
+00.0987	+00.0025	0000.034
+00.1017	+00.0022	0000.035
+00.1048	+00.0025	0000.036
+00.1078	+00.0025	0000.037
+00.1112	+00.0031	0000.038
+00.1139	+00.0031	0000.039
+00.1167	+00.0034	0000.040
+00.1200	+00.0034	0000.041
+00.1231	+00.0031	0000.042
+00.1255	+00.0034	0000.043
+00.1289	+00.0046	0000.044
+00.1323	+00.0043	0000.045
+00.1347	+00.0040	0000.046
+00.1384	+00.0043	0000.047
+00.1414	+00.0049	0000.048
+00.1439	+00.0046	0000.049
+00.1466	+00.0052	0000.050
+00.1496	+00.0055	0000.051
+00.1530	+00.0052	0000.052
+00.1558	+00.0058	0000.053
+00.1588	+00.0061	0000.054
+00.1616	+00.0068	0000.055
+00.1649	+00.0068	0000.056
+00.1680	+00.0068	0000.057
+00.1716	+00.0071	0000.058
+00.1741	+00.0071	0000.059
+00.1771	+00.0080	0000.060
+00.1796	+00.0080	0000.061
+00.1823	+00.0086	0000.062
+00.1860	+00.0083	0000.063
+00.1887	+00.0089	0000.064
+00.1921	+00.0098	0000.065
+00.1948	+00.0092	0000.066
+00.1982	+00.0095	0000.067
+00.2012	+00.0104	0000.068
+00.2040	+00.0104	0000.069
+00.2070	+00.0113	0000.070
+00.2104	+00.0110	0000.071
+00.2125	+00.0116	0000.072
+00.2159	+00.0119	0000.073
+00.2189	+00.0125	0000.074
+00.2220	+00.0122	0000.075
+00.2253	+00.0132	0000.076
+00.2278	+00.0135	0000.077
+00.2305	+00.0135	0000.078
+00.2336	+00.0141	0000.079
+00.2369	+00.0144	0000.080
+00.2400	+00.0150	0000.081
+00.2433	+00.0150	0000.082
+00.2458	+00.0156	0000.083
+00.2488	+00.0162	0000.084
+00.2522	+00.0165	0000.085
+00.2549	+00.0165	0000.086
+00.2583	+00.0174	0000.087
+00.2613	+00.0177	0000.088
+00.2638	+00.0180	0000.089
+00.2671	+00.0183	0000.090
+00.2699	+00.0190	0000.091
+00.2732	+00.0193	0000.092
+00.2757	+00.0199	0000.093
+00.2787	+00.0208	0000.094
+00.2824	+00.0208	0000.095
+00.2848	+00.0211	0000.096
+00.2879	+00.0217	0000.097
+00.2909	+00.0220	0000.098
+00.2940	+00.0220	0000.099
+00.2974	+00.0232	0000.100
+00.3001	+00.0235	0000.101
+00.3032	+00.0238	0000.102
+00.3062	+00.0245	0000.103
+00.3086	+00.0245	0000.104
+00.3120	+00.0254	0000.105
+00.3151	+00.0263	0000.106
+00.3181	+00.0260	0000.107
+00.3209	+00.0272	0000.108
+00.3239	+00.0275	0000.109
+00.3270	+00.0278	0000.110
+00.3303	+00.0287	0000.111
+00.3334	+00.0290	0000.112
+00.3358	+00.0290	0000.113
+00.3392	+00.0299	0000.114
+00.3416	+00.0306	0000.115
+00.3450	+00.0309	0000.116
+00.3486	+00.0315	0000.117
